Zip,Median,Mean,Pop
01464,"72,598","76,269","6,374"
01467,"141,274","170,088",328
01468,"66,138","70,269","3,134"
01469,"78,502","85,145","6,892"
01473,"79,073","86,554","6,906"
01474,"78,207","84,939","2,302"
01475,"56,274","66,418","9,597"
01501,"70,683","81,298","15,923"
01503,"92,917","109,928","2,517"
01504,"74,067","80,879","8,824"
01505,"88,214","128,553","4,083"
01506,"60,189","69,508","3,056"
01507,"86,561","92,648","11,274"
01510,"57,957","69,165","13,261"
01515,"71,964","82,820","2,095"
01516,"86,214","92,231","7,089"
01518,"72,983","87,918","2,303"
01519,"105,605","119,127","6,128"
01520,"92,166","103,496","12,543"
01521,"65,917","76,367","2,408"
01522,"82,165","97,639","3,083"
01523,"80,938","104,486","7,102"
01524,"74,316","85,319","6,356"
01525,"89,583","96,920",88
01527,"68,319","76,894","12,850"
01529,"77,250","89,180","2,715"
01531,"61,250","76,417",942
01532,"103,271","125,633","14,028"
01534,"76,675","88,046","4,527"
01535,"57,196","70,880","4,703"
01536,"89,347","101,686","5,977"
01537,"68,664","77,943","2,219"
01540,"62,079","72,326","10,958"
01541,"102,853","114,762","3,341"
01542,"67,172","77,660","2,025"
01543,"81,295","88,574","6,332"
01545,"88,643","101,693","31,637"
01550,"48,195","55,176","17,217"
01560,"68,854","94,984","2,754"
01561,"80,938","104,486",236
01562,"65,184","71,988","11,681"
01564,"102,115","118,110","7,267"
01566,"72,387","87,792","5,531"
01568,"107,950","121,356","5,650"
01569,"80,536","86,326","11,080"
01570,"50,142","57,820","16,396"
01571,"64,228","72,674","10,023"
01581,"101,876","123,550","17,899"
01583,"79,865","91,095","6,665"
01585,"60,376","72,571","4,472"
01588,"67,286","80,025","8,644"
01590,"104,730","116,563","8,247"
01602,"61,861","78,374","21,596"
01603,"37,454","46,307","14,613"
01604,"47,438","59,373","33,032"
01605,"41,023","54,480","24,799"
01606,"57,646","70,503","19,516"
01607,"47,987","59,094","8,415"
01608,"26,526","39,039","3,634"
01609,"44,501","62,365","20,425"
01610,"21,388","28,805","15,545"
01611,"63,333","73,699","2,206"
01612,"100,358","104,489","4,363"
01701,"92,018","102,936","31,114"
01702,"53,081","65,995","35,990"
01718,"84,559","121,293",374
01719,"102,222","119,845","4,870"
01720,"110,534","131,678","19,798"
01721,"91,904","114,036","14,602"
01730,"107,033","125,494","12,547"
01731,"77,369","96,728","2,914"
01740,"125,741","148,232","4,125"
01741,"155,000","189,989","4,798"
01742,"119,902","183,178","17,075"
01745,"114,761","142,894",331
01746,"101,901","122,803","13,866"
01747,"97,227","102,044","5,815"
01748,"121,182","170,522","13,318"
01749,"76,500","85,689","18,081"
01752,"71,835","89,002","36,273"
01754,"76,228","82,167","10,414"
01756,"102,625","117,692","5,257"
01757,"68,565","82,206","26,877"
01760,"90,673","113,933","31,763"
01770,"145,250","190,251","4,245"
01772,"141,459","169,609","8,435"
01773,"143,771","194,811","5,143"
01775,"117,440","129,280","5,902"
01776,"152,789","184,218","16,826"
01778,"140,652","187,265","13,191"
01801,"71,805","79,381","37,213"
01803,"90,659","102,991","22,954"
01810,"113,874","142,022","31,228"
01821,"87,745","95,088","29,306"
01824,"99,032","111,953","25,234"
01826,"71,731","80,688","28,728"
01827,"113,594","120,673","2,847"
01830,"63,388","71,759","24,320"
01832,"57,959","69,232","21,246"
01833,"97,895","115,435","7,356"
01834,"84,232","95,694","6,027"
01835,"76,253","86,304","13,426"
01840,"18,507","28,624","4,350"
01841,"34,128","42,598","44,474"
01843,"42,587","52,579","23,184"
01844,"66,023","75,431","43,770"
01845,"99,505","123,973","27,203"
01850,"54,087","58,893","15,688"
01851,"51,795","61,695","29,549"
01852,"55,089","62,626","32,848"
01854,"44,616","54,300","26,785"
01860,"75,517","93,951","6,145"
01862,"86,304","90,705","10,097"
01863,"77,458","88,612","8,558"
01864,"97,574","112,662","13,849"
01867,"103,358","120,487","23,657"
01876,"83,976","95,140","28,599"
01879,"92,239","106,477","11,092"
01880,"89,830","99,935","24,610"
01886,"123,906","142,724","20,811"
01887,"97,107","108,007","21,279"
01890,"128,546","176,001","20,806"
01901,"18,257","33,810","1,630"
01902,"38,107","49,159","45,617"
01904,"69,263","77,218","17,916"
01905,"42,449","51,336","23,905"
01906,"69,051","84,874","26,160"
01907,"90,516","120,329","14,463"
01913,"73,843","90,786","16,447"
01915,"71,363","90,717","39,854"
01921,"143,045","205,695","7,903"
01922,"91,052","113,098","3,041"
01923,"76,695","97,283","25,239"
01929,"76,989","104,199","3,272"
01930,"63,047","78,512","30,261"
01938,"82,395","98,029","12,981"
01940,"90,677","114,264","11,926"
01944,"105,000","148,622","5,234"
01945,"95,942","139,641","20,370"
01949,"87,728","106,394","7,748"
01950,"76,313","102,337","17,249"
01951,"91,052","113,098","3,622"
01952,"62,924","77,419","7,819"
01960,"67,119","78,619","47,991"
01966,"73,676","93,990","7,762"
01969,"74,911","97,895","5,504"
01970,"57,313","70,552","40,268"
01982,"97,491","104,573","8,299"
01983,"115,015","133,663","6,132"
01984,"132,697","181,580","4,451"
01985,"111,739","140,801","4,160"
02019,"77,420","84,271","15,248"
02021,"88,829","112,721","20,755"
02025,"114,214","165,670","7,255"
02026,"85,131","103,594","23,478"
02030,"164,583","240,515","5,561"
02032,"77,708","101,593","3,576"
02035,"94,994","108,948","16,163"
02038,"92,042","107,379","29,553"
02043,"99,910","146,972","19,867"
02045,"70,039","89,785","11,047"
02047,"75,170","102,029",247
02048,"93,593","109,080","22,393"
02050,"85,395","105,524","24,577"
02052,"123,176","169,008","12,254"
02053,"100,950","116,761","12,503"
02054,"85,472","95,458","7,892"
02056,"111,767","137,649","10,608"
02061,"106,730","144,569","9,785"
02062,"72,935","84,347","28,563"
02066,"92,394","116,245","17,349"
02067,"117,828","144,691","17,425"
02071,"91,781","107,426",956
02072,"69,340","81,997","27,342"
02081,"92,954","119,375","18,430"
02090,"116,083","154,504","14,150"
02093,"94,524","123,596","10,446"
02108,"96,033","149,809","3,324"
02109,"92,310","129,015","3,278"
02110,"102,972","135,093","1,606"
02111,"31,442","93,529","4,948"
02113,"60,386","84,170","6,453"
02114,"69,809","110,095","11,170"
02115,"30,282","54,356","25,637"
02116,"80,153","136,491","19,480"
02118,"51,368","82,360","22,527"
02119,"36,316","47,419","23,537"
02120,"28,794","41,569","11,553"
02121,"28,897","42,271","24,772"
02122,"45,859","59,863","24,385"
02124,"43,598","56,611","51,236"
02125,"44,266","57,482","32,937"
02126,"51,733","59,320","27,685"
02127,"64,285","80,697","29,457"
02128,"42,613","55,095","38,185"
02129,"80,223","108,709","15,195"
02130,"69,576","90,455","34,961"
02131,"62,945","73,124","30,491"
02132,"76,802","95,567","25,943"
02134,"33,863","47,915","19,641"
02135,"52,714","64,682","41,833"
02136,"54,410","67,054","26,418"
02138,"68,127","112,348","34,994"
02139,"62,821","83,356","35,273"
02140,"65,283","91,656","17,158"
02141,"57,909","79,408","12,010"
02142,"61,141","88,669","1,823"
02143,"64,966","79,417","24,864"
02144,"68,004","80,579","24,248"
02145,"50,718","63,041","26,833"
02148,"55,890","66,741","56,273"
02149,"49,696","62,187","38,109"
02150,"40,344","50,098","34,956"
02151,"51,723","60,340","47,323"
02152,"68,218","82,769","18,303"
02155,"69,803","82,586","57,291"
02163,"23,429","39,215",929
02169,"56,647","69,210","52,278"
02170,"64,309","77,390","19,203"
02171,"66,808","80,719","16,610"
02176,"85,681","95,604","27,173"
02180,"78,103","86,637","22,116"
02184,"77,129","95,668","33,731"
02186,"98,712","125,636","26,112"
02188,"65,251","80,495","13,828"
02189,"62,491","73,956","14,455"
02190,"74,205","89,585","16,780"
02191,"68,143","75,926","8,916"
02199,"68,080","149,005","1,004"
02203,"106,602","135,049",1
02210,"61,807","86,291",413
02215,"30,726","51,218","21,896"
02301,"48,470","58,674","61,459"
02302,"62,408","66,149","32,523"
02322,"67,313","77,494","4,483"
02324,"80,879","87,642","22,922"
02330,"70,048","77,569","11,169"
02332,"116,904","149,633","14,241"
02333,"82,133","89,922","13,012"
02339,"104,787","118,371","13,171"
02341,"81,912","90,515","9,550"
02343,"62,560","74,251","10,705"
02346,"72,466","80,698","19,926"
02347,"94,495","102,487","9,810"
02351,"75,850","83,124","14,614"
02356,"99,682","123,583","12,966"
02357,"101,136","146,319",323
02359,"83,622","95,280","16,907"
02360,"74,603","86,753","51,563"
02364,"78,923","100,027","11,805"
02366,"89,632","93,117",126
02367,"87,917","98,668","2,622"
02368,"65,118","74,837","30,999"
02370,"62,855","74,684","17,665"
02375,"78,410","93,429","9,034"
02379,"73,651","88,014","6,610"
02382,"77,027","83,066","13,867"
02420,"139,453","181,881","14,109"
02421,"126,827","167,894","16,360"
02445,"105,027","160,933","21,282"
02446,"67,338","105,307","24,351"
02451,"78,675","95,995","17,553"
02452,"67,088","84,728","12,642"
02453,"59,067","75,080","29,043"
02457,"179,792","273,410",551
02458,"90,740","123,497","12,603"
02459,"128,598","176,962","18,940"
02460,"107,495","140,026","8,772"
02461,"110,373","149,143","6,599"
02462,"134,119","208,054","1,679"
02464,"81,143","111,517","2,958"
02465,"110,531","158,982","11,789"
02466,"115,116","167,280","7,010"
02467,"130,044","220,734","15,408"
02468,"166,454","240,445","5,429"
02472,"74,968","89,065","32,913"
02474,"82,845","100,434","25,806"
02476,"83,975","104,445","16,533"
02478,"95,269","133,543","24,296"
02481,"173,681","243,579","14,503"
02482,"123,003","185,218","11,569"
02492,"118,211","168,697","20,064"
02493,"147,946","277,514","11,526"
02494,"104,492","139,639","8,885"
02532,"60,257","73,420","11,275"
02534,"60,788","74,722",865
02535,"68,906","98,197","1,182"
02536,"61,733","75,012","19,684"
02537,"86,643","98,309","5,732"
02538,"54,545","65,412","3,528"
02539,"67,625","93,683","3,771"
02540,"58,667","96,888","8,794"
02542,"39,803","51,101","1,588"
02543,"82,355","136,359",845
02553,"70,197","80,940",249
02554,"61,502","92,073","6,889"
02556,"67,750","87,409","3,352"
02557,"59,156","75,430","3,684"
02558,"51,662","60,627","1,779"
02559,"62,761","76,026","3,309"
02561,"68,597","79,039",481
02562,"68,960","79,286","2,881"
02563,"84,184","97,817","10,346"
02564,"81,944","158,042",388
02568,516,691,31
02571,"55,500","66,214","10,045"
02575,"68,906","98,197","2,438"
02576,"62,034","70,428","3,213"
02584,"81,944","158,042",4
02601,"44,219","55,017","15,104"
02630,"71,383","104,286","1,873"
02631,"58,280","76,849","9,796"
02632,"67,464","81,140","11,376"
02633,"65,871","102,922","4,282"
02635,"75,166","104,492","3,412"
02637,"71,516","104,499",277
02638,"56,770","75,909","3,700"
02639,"47,356","62,216","3,363"
02641,"61,013","80,493",719
02642,"59,536","74,408","5,431"
02643,"62,589","82,230",45
02644,"82,198","86,837","3,876"
02645,"55,137","75,251","9,578"
02646,"52,700","74,549","1,947"
02647,"47,353","56,686",168
02648,"71,212","91,677","7,610"
02649,"62,993","80,307","12,960"
02650,"64,477","105,609",979
02651,"54,464","69,597",13
02652,"80,425","82,651","1,288"
02653,"57,062","76,182","6,359"
02655,"72,786","103,288","3,956"
02657,"44,646","65,485","3,430"
02659,"67,569","99,647","1,102"
02660,"52,611","66,274","6,546"
02663,"66,109","85,199",130
02664,"46,673","59,893","9,702"
02666,"80,425","82,651",790
02667,"66,118","85,193","2,614"
02668,"71,947","99,935","3,274"
02669,"67,569","99,647",259
02670,"36,555","54,887","1,630"
02671,"55,677","85,191","1,061"
02672,"51,601","62,500",249
02673,"46,414","61,552","8,985"
02675,"63,557","80,124","6,712"
02702,"91,095","91,631","3,869"
02703,"67,398","77,813","41,916"
02713,"68,906","98,197",55
02715,"83,613","90,286","2,591"
02717,"75,793","83,033","4,594"
02718,"81,142","82,796","6,406"
02719,"53,936","63,866","16,150"
02720,"47,794","57,117","31,309"
02721,"32,106","42,516","26,428"
02723,"30,338","38,251","16,231"
02724,"30,652","40,877","17,397"
02725,"65,712","67,216","2,663"
02726,"68,267","76,224","15,530"
02738,"101,006","125,277","5,118"
02739,"74,877","92,712","6,282"
02740,"38,238","47,584","43,249"
02743,"70,836","76,925","10,148"
02744,"31,128","48,515","11,667"
02745,"51,951","59,328","23,851"
02746,"24,099","35,477","14,861"
02747,"72,292","79,915","19,451"
02748,"72,885","89,832","11,531"
02760,"79,274","89,441","25,526"
02762,"73,645","82,637","7,678"
02763,"76,722","87,166","1,782"
02764,"83,621","90,292","3,623"
02766,"77,953","90,784","17,869"
02767,"76,338","88,696","11,839"
02769,"90,530","106,149","10,179"
02770,"95,022","97,975","4,397"
02771,"73,961","90,916","13,507"
02777,"70,245","82,590","15,945"
02779,"81,125","90,841","5,748"
02780,"53,796","62,457","49,469"
02790,"68,367","83,137","14,305"
02791,"72,105","100,424",302
02802,"62,982","77,405",733
02804,"71,104","79,440","2,574"
02806,"105,128","131,774","16,818"
02807,"75,417","99,379","1,009"
02808,"73,725","87,590","2,279"
02809,"65,256","80,115","22,438"
02812,"72,819","89,720","1,216"
02813,"69,956","87,827","7,847"
02814,"79,171","84,321","7,664"
02815,"78,476","93,391",257
02816,"68,135","75,982","31,625"
02817,"81,419","95,881","5,095"
02818,"90,430","117,615","18,176"
02822,"98,411","105,363","5,697"
02825,"73,268","95,033","4,922"
02826,"65,948","78,029",832
02827,"79,051","88,882","2,149"
02828,"78,326","92,802","7,396"
02830,"65,423","75,289","5,806"
02831,"68,687","81,386","3,487"
02832,"71,453","81,507","4,481"
02833,"71,104","79,440",708
02835,"77,813","107,319","5,617"
02836,"72,819","89,720",98
02837,"94,866","114,713","3,592"
02838,"62,982","77,405","3,712"
02839,"65,948","78,029","1,833"
02840,"58,815","77,476","25,661"
02841,"53,958","58,483",840
02842,"70,801","83,980","17,305"
02852,"76,449","96,571","23,107"
02857,"74,686","86,941","8,462"
02858,"65,948","78,029",545
02859,"70,127","77,007","6,798"
02860,"35,154","44,984","46,470"
02861,"53,929","61,309","26,624"
02863,"33,666","40,875","18,946"
02864,"73,450","84,792","31,834"
02865,"75,540","94,794","16,435"
02871,"59,264","80,285","12,418"
02872,"71,705","94,978",88
02873,"71,104","79,440",161
02874,"90,020","118,609","5,081"
02875,"72,819","89,720",307
02876,"80,080","88,709",80
02878,"62,530","76,645","15,257"
02879,"70,848","90,447","19,172"
02881,"47,075","60,168","6,387"
02882,"61,144","87,365","14,807"
02885,"54,317","71,228","11,386"
02886,"59,954","71,363","30,234"
02888,"58,509","66,680","20,650"
02889,"60,122","68,714","29,615"
02891,"61,399","74,554","21,338"
02892,"80,222","98,074","4,846"
02893,"52,342","60,430","29,518"
02894,"72,539","88,044",730
02895,"40,457","48,968","43,198"
02896,"79,213","87,184","10,549"
02898,"72,768","89,413","1,672"
02903,"26,262","51,971","9,350"
02904,"44,102","57,490","28,539"
02905,"34,503","46,205","20,393"
02906,"64,563","102,753","29,878"
02907,"30,216","40,140","27,163"
02908,"40,373","52,099","38,036"
02909,"33,877","45,087","40,945"
02910,"58,287","62,429","20,959"
02911,"48,687","58,607","15,508"
02912,"60,938","124,502","1,016"
02914,"46,275","55,014","22,316"
02915,"52,780","67,882","18,127"
02916,"59,302","73,541","8,220"
02917,"71,030","85,287","13,288"
02919,"59,408","66,484","28,253"
02920,"54,380","65,389","37,423"
02921,"85,748","105,690","10,608"
03031,"115,544","134,503","10,879"
03032,"90,082","98,874","4,674"
03033,"101,722","105,947","4,185"
03034,"90,986","96,056","3,961"
03036,"99,970","114,222","3,785"
03037,"85,573","93,969","3,638"
03038,"72,374","82,126","33,893"
03042,"73,405","87,635","5,479"
03043,"67,541","77,721","1,500"
03044,"76,929","80,916","3,491"
03045,"76,696","85,933","12,705"
03046,"95,682","112,556","2,226"
03047,"69,136","80,002","1,686"
03048,"63,151","70,795","3,333"
03049,"112,885","159,945","7,013"
03051,"77,996","88,948","22,952"
03052,"100,051","102,541","7,331"
03053,"93,465","104,876","23,364"
03054,"92,954","100,328","25,094"
03055,"70,617","80,757","13,437"
03057,"97,234","110,769","2,091"
03060,"45,861","58,717","29,540"
03062,"83,501","94,152","26,234"
03063,"75,894","85,916","16,175"
03064,"68,657","83,760","14,652"
03070,"86,118","108,691","4,097"
03071,"72,739","85,830","4,294"
03076,"93,085","103,680","10,913"
03077,"61,164","69,251","9,669"
03079,"68,841","87,526","28,011"
03082,"80,299","77,177","1,519"
03084,"72,806","85,920","1,270"
03086,"68,090","97,907","3,775"
03087,"114,204","134,056","10,705"
03101,"28,275","44,234","2,754"
03102,"50,355","60,184","30,331"
03103,"51,018","59,129","36,749"
03104,"61,017","74,121","31,954"
03106,"53,663","67,135","7,285"
03109,"67,513","73,274","9,484"
03110,"117,684","146,355","18,257"
03215,"49,073","61,071",256
03216,"64,522","73,462","1,985"
03217,"44,153","63,301","1,924"
03218,"65,727","70,499",918
03220,"56,585","60,860","6,777"
03221,"67,314","79,913","1,796"
03222,"47,954","57,441","5,020"
03223,"44,546","58,613","2,831"
03224,"78,500","85,675","1,947"
03225,"65,804","70,742","2,991"
03226,"1,341","1,856",30
03227,"51,866","69,455",963
03229,"86,083","112,531","5,387"
03230,"62,943","70,846","1,138"
03231,"64,522","73,462",117
03233,"66,146","93,832",154
03234,"71,686","76,545","4,026"
03235,"49,138","54,173","8,470"
03237,"64,219","78,346","1,878"
03238,"44,050","54,023",61
03240,"54,297","60,586","1,138"
03241,"70,144","97,030",679
03242,"73,472","79,535","4,444"
03243,"62,943","70,846",991
03244,"57,426","65,981","6,950"
03245,"44,153","63,301","1,937"
03246,"45,867","60,388","16,437"
03249,"60,450","85,894","6,763"
03251,"49,073","61,071","1,269"
03253,"58,931","74,305","5,890"
03254,"74,162","102,346","4,478"
03255,"67,396","80,093","1,738"
03256,585,695,16
03257,"66,175","93,511","4,053"
03258,"74,808","84,333","2,221"
03259,"51,866","69,455",290
03260,"67,396","80,093",628
03261,"64,816","77,245","3,674"
03262,"44,050","54,023","1,023"
03263,"57,987","64,562","3,952"
03264,"43,783","55,678","6,223"
03266,"51,840","69,530","2,072"
03268,"64,522","73,462","1,031"
03269,"61,702","74,989","2,586"
03273,"67,396","80,093",347
03275,"58,388","69,108","11,732"
03276,"55,931","60,462","7,952"
03278,"63,262","71,038","2,897"
03279,"44,050","54,023",807
03280,"52,648","63,213",895
03281,"78,480","88,983","7,775"
03282,"59,259","66,151",791
03284,"81,000","87,997",736
03285,"49,073","61,071","1,823"
03287,"62,943","70,846","1,076"
03290,"98,477","105,299","3,590"
03291,"98,542","105,353",51
03293,"44,050","54,023",114
03301,"52,876","72,338","31,800"
03303,"57,450","64,970","14,137"
03304,"103,270","119,136","7,136"
03307,"74,570","93,317","4,497"
03431,"49,288","64,159","24,237"
03440,"61,481","66,225","2,487"
03441,"36,932","48,336",312
03442,"67,351","77,729","1,409"
03443,"79,400","100,196",695
03444,"60,369","74,292","1,473"
03445,"60,369","74,292",755
03446,"52,053","62,433","5,949"
03447,"67,839","76,203","2,151"
03448,"55,170","68,978",802
03449,"64,231","93,445","1,738"
03450,"60,369","74,292","1,065"
03451,"44,533","50,539","4,118"
03452,"56,637","71,304","5,477"
03455,"55,913","65,606","2,036"
03456,"55,170","68,978",749
03457,"60,369","74,292",698
03458,"70,275","86,328","6,274"
03461,"68,250","78,731","5,444"
03462,"79,400","100,196","1,607"
03464,"60,369","74,292",876
03465,"55,910","65,536","1,969"
03466,"79,400","100,196","1,259"
03467,"79,400","100,196","1,722"
03470,"43,642","54,386","4,840"
03561,"44,787","53,312","5,864"
03570,"39,342","45,740","10,270"
03574,"58,082","67,369","2,201"
03575,"60,741","70,341",59
03576,"36,884","47,521","3,475"
03579,"41,891","44,965",372
03580,"56,505","66,182","1,193"
03581,"43,217","61,600","3,271"
03582,"35,740","41,166","2,715"
03583,"60,741","70,341","1,005"
03584,"46,889","64,494","3,512"
03585,"50,406","61,591","2,414"
03586,"58,082","67,369",535
03588,"52,026","55,843","1,640"
03590,"35,828","42,695","1,236"
03592,"38,616","46,857","1,146"
03593,"60,741","70,341",338
03595,"60,741","70,341",600
03597,"38,550","46,726",389
03598,"48,061","53,959","2,966"
03601,"58,667","63,858",398
03602,"56,041","67,702","2,584"
03603,"49,290","54,965","5,027"
03604,"58,112","62,174",29
03605,"52,648","63,213",971
03607,"58,667","63,858",316
03608,"58,112","62,174","2,887"
03609,"58,112","62,174",672
03740,"50,092","61,154",760
03741,"60,392","64,937","3,590"
03743,"42,247","51,372","13,840"
03745,"77,619","93,315","1,468"
03746,"77,619","93,315",194
03748,"61,496","70,303","4,747"
03750,"110,729","170,957",951
03751,"64,611","77,239",308
03752,"52,648","63,213",746
03753,"81,000","87,997","2,169"
03754,"45,794","50,574",19
03755,"81,607","118,009","9,900"
03765,"41,575","49,288",448
03766,"59,682","73,873","8,867"
03768,"70,144","97,030","1,679"
03770,"77,619","93,315",347
03771,"50,406","61,591",738
03773,"49,852","54,854","7,502"
03774,"41,575","49,288","1,936"
03777,"59,259","66,151","1,089"
03779,"59,259","66,151",710
03780,"41,614","49,362",449
03781,"77,619","93,315","1,892"
03782,"59,775","74,054","2,823"
03784,"56,652","73,403","3,742"
03785,"42,817","51,208","2,070"
03801,"63,815","80,794","21,560"
03809,"57,560","71,765","2,928"
03810,"57,569","71,774","1,572"
03811,"87,514","105,490","6,267"
03812,"46,357","66,711",897
03813,"46,708","59,878","2,530"
03814,"44,967","50,007","2,265"
03816,"52,679","71,728","1,159"
03817,"51,866","69,455",462
03818,"49,733","63,387","3,309"
03819,"78,083","85,681","4,017"
03820,"59,989","73,476","26,940"
03823,"72,209","93,556","1,432"
03824,"60,676","89,886","12,659"
03825,"74,102","78,995","7,375"
03826,"82,711","96,581","2,439"
03827,"87,103","110,233","2,579"
03830,"46,406","54,838","1,258"
03832,"55,531","71,353",381
03833,"74,806","91,971","19,202"
03835,"47,975","59,713","5,778"
03836,"45,728","56,866","1,286"
03837,"64,219","78,346","1,173"
03838,"46,357","66,711",922
03839,"55,733","64,831","3,490"
03840,"75,526","109,858","3,220"
03841,"83,959","99,306","6,086"
03842,"72,310","83,441","14,818"
03844,"112,417","148,972","1,879"
03845,"45,924","65,853","1,000"
03846,"46,357","66,711",818
03847,"40,661","55,428",302
03848,"69,792","78,509","5,863"
03849,"55,543","71,375","1,295"
03850,"52,679","71,728",369
03851,"58,382","64,122","3,378"
03852,"58,382","64,122",534
03853,"52,679","71,728",581
03854,"67,292","109,947","1,010"
03855,"60,625","70,704","2,216"
03856,"79,824","91,594","1,557"
03857,"70,588","85,299","8,048"
03858,"87,257","83,256","4,288"
03860,"40,861","55,726","3,450"
03861,"72,209","93,556","4,153"
03862,"75,081","114,862","4,254"
03864,"44,967","50,007","1,628"
03865,"76,471","88,998","7,731"
03867,"51,183","63,716","20,308"
03868,"53,629","60,462","4,778"
03869,"66,161","83,345","2,582"
03870,"85,268","117,242","5,062"
03871,"85,268","117,242",119
03872,"46,406","54,838","3,200"
03873,"84,362","98,243","4,942"
03874,"52,645","64,487","8,047"
03875,"55,214","71,203",625
03878,"52,254","61,720","11,539"
03882,"45,728","56,866","1,273"
