"establishment.name","address","city","time.in.h","time.in.m","time.in.ampm","time.out.h","time.out.m","time.out.ampm","inspection.date","cfsm","purpose.of.inspection","risk.type","permit.number","current.score","current.grade","link"
"5 BUCKS CAFE","3853 LAWRENCEVILLE HIGHWAY, SUITE A","TUCKER",12,10,"PM",1,20,"PM",2014-10-07,"Ding Zi Chen (Ex. 11/2/2014)","Routine",3,"885918",87,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=457120&domainID=22"
"5 BUCKS CAFE","3853 LAWRENCEVILLE HIGHWAY, SUITE A","TUCKER",2,20,"PM",3,35,"PM",2014-02-17,"Ding Zi Chen","Routine",2,"885918",86,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=376407&domainID=22"
"5 BUCKS CAFE","3853 LAWRENCEVILLE HIGHWAY, SUITE A","TUCKER",1,5,"PM",2,20,"PM",2013-07-30,"Ding Zi Chen","Routine",2,"885918",94,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=376281&domainID=22"
"529 BAR","529 FLAT SHOALS AVENUE  S. E.","ATLANTA",5,35,"PM",6,25,"PM",2015-01-10,"N/A","Routine",2,"886576",90,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=459088&domainID=22"
"529 BAR","529 FLAT SHOALS AVENUE  S. E.","ATLANTA",10,40,"PM",11,30,"PM",2013-08-17,"N/A","Routine",1,"886576",96,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=392053&domainID=22"
"A BOKAY CATERING & FLOWERS INC","4339 HUGH HOWELL ROAD","TUCKER",10,15,"AM",11,15,"AM",2015-06-18,"Joann Morgan","Routine",3,"443349",83,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=474074&domainID=22"
"A BOKAY CATERING & FLOWERS INC","4339 HUGH HOWELL ROAD","TUCKER",2,50,"PM",3,55,"PM",2014-09-08,"Joann Morgan","Routine",3,"443349",93,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=457106&domainID=22"
"A BOKAY CATERING & FLOWERS INC","4339 HUGH HOWELL ROAD","TUCKER",8,45,"AM",9,30,"AM",2013-10-31,"Not in Compliance","Follow-Up",2,"443349",91,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=412548&domainID=22"
"A BOKAY CATERING & FLOWERS INC","4339 HUGH HOWELL ROAD","TUCKER",10,55,"AM",12,0,"PM",2013-09-05,"Not in Compliance","Routine",2,"443349",77,"C","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=376317&domainID=22"
"A MOVEABLE FEAST","771 SHALLOWFORD ROAD, SUITE 101","KENNESAW",7,25,"PM",7,50,"PM",2013-10-30,"Giovanna Rosenfeld","Routine",2,"886854",87,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=412546&domainID=22"
"A MOVEABLE FEAST","771 SHALLOWFORD ROAD, SUITE 101","KENNESAW",9,0,"AM",9,50,"AM",2013-08-29,"Giovanna Rosenfeld","Routine",1,"886854",100,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=412545&domainID=22"
"A PEACH OF A PARTY","3450 HARDEE AVENUE","CHAMBLEE",11,20,"AM",12,30,"PM",2015-05-15,"David Plant","Routine",2,"884323",92,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=509074&domainID=22"
"A PEACH OF A PARTY","3450 HARDEE AVENUE","CHAMBLEE",2,0,"PM",3,0,"PM",2014-05-21,"David Plant","Routine",2,"884323",91,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=425524&domainID=22"
"A-PRIORI RESTAURANT","5953 BUFORD HIGHWAY, SUITE 108-109","DORAVILLE",1,15,"PM",2,25,"PM",2014-12-17,"90 day deadline","Initial",2,"887303",100,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=438996&domainID=22"
